time,lat,lon,alt,vn,ve,vd,GPS_TOW,theta,p_bias,q_bias,r_bias,ax_bias,ay_bias,az_bias,navvd
150.52,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5054912,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.229844
150.54,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.50468916,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.2063203
150.56,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.50389004,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.189885
150.58,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.50331193,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.171208
150.6,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5026435,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.155716
150.62,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5020174,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.145608
150.64,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.50142395,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.128642
150.66,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.50095385,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.119137
150.68,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5005521,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.1041527
150.7,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.500146,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.096455
150.72,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.49984273,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0843897
150.74,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.4995018,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0725055
150.76,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.49933785,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0639925
150.78,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.49921983,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0526724
150.8,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.4992872,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.052087
150.82,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.49922028,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0424547
150.84,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.49927214,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.038688
150.86,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.4993468,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.031078
150.88,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.49960703,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0271564
